TEAM ,DATE ,MATCHUP ,W/L ,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
HOU ,5/27/2015,HOU @ GSW ,L ,240,90,26,74,35.1,5,24,20.8,33,44,75,10,29,39,16,12,6,20,26
HOU ,5/25/2015,HOU vs. GSW ,W ,240,128,43,76,56.6,17,32,53.1,25,43,58.1,4,42,46,22,8,10,16,16
HOU ,5/23/2015,HOU vs. GSW ,L ,241,80,28,83,33.7,5,25,20,19,31,61.3,9,30,39,15,7,4,15,19
HOU ,5/21/2015,HOU @ GSW ,L ,239,98,39,84,46.4,7,23,30.4,13,19,68.4,11,28,39,20,10,5,10,18
HOU ,5/19/2015,HOU @ GSW ,L ,240,106,40,86,46.5,8,22,36.4,18,28,64.3,14,33,47,27,8,6,15,19
HOU ,5/17/2015,HOU vs. LAC ,W ,238,113,35,78,44.9,12,30,40,31,41,75.6,4,36,40,22,11,4,16,21
HOU ,5/14/2015,HOU @ LAC ,W ,240,119,37,87,42.5,13,32,40.6,32,47,68.1,15,45,60,19,8,5,9,22
HOU ,5/12/2015,HOU vs. LAC ,W ,240,124,46,85,54.1,9,29,31,23,38,60.5,15,43,58,29,5,3,11,24
HOU ,5/10/2015,HOU @ LAC ,L ,239,95,34,83,41,12,28,42.9,15,30,50,10,37,47,20,6,1,18,40
HOU ,5/8/2015,HOU @ LAC ,L ,239,99,35,88,39.8,11,33,33.3,18,31,58.1,16,27,43,21,8,5,15,18
HOU ,5/6/2015,HOU vs. LAC ,W ,240,115,34,80,42.5,5,26,19.2,42,64,65.6,15,39,54,20,6,10,14,27
HOU ,5/4/2015,HOU vs. LAC ,L ,239,101,38,84,45.2,11,33,33.3,14,24,58.3,6,29,35,24,14,8,23,25
HOU ,4/28/2015,HOU vs. DAL ,W ,241,103,37,82,45.1,10,31,32.3,19,36,52.8,11,42,53,22,9,6,21,26
HOU ,4/26/2015,HOU @ DAL ,L ,240,109,38,81,46.9,7,31,22.6,26,40,65,7,31,38,21,10,4,10,24
HOU ,4/24/2015,HOU @ DAL ,W ,239,130,48,93,51.6,13,24,54.2,21,28,75,17,29,46,23,4,2,14,28
HOU ,4/21/2015,HOU vs. DAL ,W ,241,111,39,88,44.3,6,20,30,27,35,77.1,13,36,49,25,5,5,11,23
HOU ,4/18/2015,HOU vs. DAL ,W ,240,118,38,85,44.7,10,25,40,32,45,71.1,8,36,44,26,11,9,13,22
HOU ,4/15/2015,HOU vs. UTA ,W ,240,117,41,76,53.9,12,28,42.9,23,34,67.6,4,45,49,28,9,13,18,19
HOU ,4/13/2015,HOU @ CHA ,W ,241,100,35,85,41.2,9,35,25.7,21,26,80.8,10,39,49,19,9,10,10,18
HOU ,4/12/2015,HOU vs. NOP ,W ,240,121,39,73,53.4,9,24,37.5,34,48,70.8,9,31,40,16,6,6,11,18
HOU ,4/10/2015,HOU vs. SAS ,L ,241,103,31,66,47,9,21,42.9,32,53,60.4,9,30,39,19,9,5,20,26
HOU ,4/8/2015,HOU @ SAS ,L ,239,98,39,84,46.4,10,25,40,10,16,62.5,8,31,39,25,7,3,13,12
HOU ,4/5/2015,HOU @ OKC ,W ,239,115,38,81,46.9,8,28,28.6,31,50,62,12,30,42,18,14,4,10,25
HOU ,4/2/2015,HOU @ DAL ,W ,240,108,34,77,44.2,11,31,35.5,29,40,72.5,17,38,55,24,9,2,18,24
HOU ,4/1/2015,HOU vs. SAC ,W ,240,115,41,89,46.1,18,40,45,15,25,60,14,28,42,24,14,13,17,17
HOU ,3/30/2015,HOU @ TOR ,L ,240,96,35,84,41.7,8,27,29.6,18,31,58.1,12,29,41,21,7,3,13,22
HOU ,3/29/2015,HOU @ WAS ,W ,241,99,34,80,42.5,9,29,31,22,33,66.7,16,37,53,18,12,6,19,25
HOU ,3/27/2015,HOU vs. MIN ,W ,242,120,44,83,53,20,44,45.5,12,17,70.6,13,28,41,34,10,6,17,26
HOU ,3/25/2015,HOU @ NOP ,W ,239,95,40,81,49.4,6,22,27.3,9,12,75,12,31,43,29,7,4,18,22
HOU ,3/23/2015,HOU @ IND ,W ,240,110,31,65,47.7,13,24,54.2,35,37,94.6,4,31,35,16,11,5,19,25
HOU ,3/21/2015,HOU vs. PHX ,L ,240,102,41,87,47.1,10,34,29.4,10,12,83.3,4,32,36,28,7,5,18,21
HOU ,3/19/2015,HOU vs. DEN ,W ,240,118,37,83,44.6,12,30,40,32,40,80,10,39,49,27,8,4,16,19
HOU ,3/17/2015,HOU vs. ORL ,W ,240,107,39,78,50,11,27,40.7,18,27,66.7,12,35,47,27,7,6,14,14
HOU ,3/15/2015,HOU @ LAC ,W ,240,100,32,86,37.2,7,30,23.3,29,36,80.6,11,32,43,17,7,3,12,22
HOU ,3/12/2015,HOU @ UTA ,L ,239,91,34,79,43,7,32,21.9,16,24,66.7,8,29,37,19,8,2,9,22
HOU ,3/11/2015,HOU @ POR ,L ,240,100,38,91,41.8,11,31,35.5,13,23,56.5,12,28,40,21,12,5,11,16
HOU ,3/7/2015,HOU @ DEN ,W ,240,114,40,86,46.5,10,28,35.7,24,32,75,11,37,48,25,11,2,22,22
HOU ,3/6/2015,HOU vs. DET ,W ,241,103,38,91,41.8,6,28,21.4,21,25,84,13,42,55,23,6,6,19,16
